ID,Address,Job Number,Job Name,Latitude,Longitude,Radius,Tags,Notes,Type
25179207,"https://www.google.com/maps/place/Elements+at+Coldstream/@39.3227906,-120.2279373,16.75z/data=!4m5!3m4!1s0x0:0x6f029c55780b0afb!8m2!3d39.3225012!4d-120.2268186",BTCS00,COLDSTREAM,39.322464,-120.226818,250,"Reno,Wesley Wilson",BTCS00 COLDSTREAM,Normal Geofence
25179231,"https://www.google.com/maps/place/The+Lakes+at+Lemmon+Valley/@39.6190798,-119.8634863,17z/data=!4m12!1m6!3m5!1s0x809948dc5fb51ea9:0xcc09b0b981cfe63b!2sThe+Lakes+at+Lemmon+Valley!8m2!3d39.6190757!4d-119.8612976!3m4!1s0x809948dc5fb51ea9:0xcc09b0b981cfe63b!8m2!3d39.6190757!4d-119.8612976",BDTL00,THE LAKES,39.619076,-119.861298,250,"Reno,Wesley Wilson",BDTL00 THE LAKES,Normal Geofence
25179411,"https://www.google.com/maps/place/Silverland+Estates+by+BUILT./@39.5875521,-119.1955162,15z/data=!4m12!1m6!3m5!1s0x0:0xd4f0b1183c5325f2!2sSilverland+Estates+by+BUILT.!8m2!3d39.5875521!4d-119.1955162!3m4!1s0x0:0xd4f0b1183c5325f2!8m2!3d39.5875521!4d-119.1955162",BTSE00,SILVERLAND ESTATES,39.587552,-119.195516,250,"Reno,Wesley Wilson",BTSE00 SILVERLAND ESTATES,Normal Geofence
25179494,"https://www.google.com/maps/place/822+Garnet+Way,+Fernley,+NV+89408/@39.5818771,-119.2322367,17z/data=!4m13!1m7!3m6!1s0x8098e878f04e55e1:0x94a6e1bf390aee56!2s822+Garnet+Way,+Fernley,+NV+89408!3b1!8m2!3d39.581873!4d-119.230048!3m4!1s0x8098e878f04e55e1:0x94a6e1bf390aee56!8m2!3d39.581873!4d-119.230048",DFGV00,GREEN VALLEY,39.581873,-119.230048,250,"Reno,Wesley Wilson",DFGV00 GREEN VALLEY,Normal Geofence
25179672,"6679 Coyote Call Trail, Sparks, NV 89436, USA",DRKR00,KILEY RANCH,39.611108,-119.719279,250,"Reno,Wesley Wilson",DRKR00 KILEY RANCH,Normal Geofence
25179843,"https://www.google.com/maps/place/276+Belmullet+Dr,+Reno,+NV+89523/@39.5246711,-119.9695527,17z/data=!4m13!1m7!3m6!1s0x8099452943a9c8df:0x667da3132306b48f!2s276+Belmullet+Dr,+Reno,+NV+89523!3b1!8m2!3d39.524667!4d-119.967364!3m4!1s0x8099452943a9c8df:0x667da3132306b48f!8m2!3d39.524667!4d-119.967364",DRWMCS,WEST MEADOWS CREST,39.524667,-119.967364,250,"Reno,Wesley Wilson",DRWMCS WEST MEADOWS CREST,Normal Geofence
25179870,"https://www.google.com/maps/place/Estates+at+West+Meadows+by+D.R.+Horton/@39.5227435,-119.9724932,17z/data=!4m13!1m7!3m6!1s0x8099452bb230920b:0x4e8bb79a5e587b32!2s8304+Fenhollow+Dr,+Reno,+NV+89523!3b1!8m2!3d39.5227394!4d-119.9703045!3m4!1s0x809945762fb1a78b:0x74b32b041fab8259!8m2!3d39.5228034!4d-119.9703224",DRWMES,WEST MEADOWS ESTATES,39.522719,-119.970307,250,"Reno,Wesley Wilson",DRWMES WEST MEADOWS ESTATES,Normal Geofence
25179946,"https://www.google.com/maps/place/Desert+Wind+Homes+At+Falcon+Ridge/@39.5679397,-119.7794103,17z/data=!3m1!4b1!4m5!3m4!1s0x809939a7f61a0523:0xd641e6b8b565b706!8m2!3d39.5678686!4d-119.7772232",DWFROO,FALCON RIDGE,39.56794,-119.777222,250,"Reno,Wesley Wilson",DWFROO FALCON RIDGE,Normal Geofence
25180245,"3710 Coastal St, Reno, NV 89512, USA",NNMV30,MOINTAIN VIEW,39.565917,-119.812459,250,"Reno,Wesley Wilson",NNMV30 MOINTAIN VIEW,Normal Geofence
25180276,"https://www.google.com/maps/place/Alicante+at+Stonebrook/@39.6351442,-119.7004402,18z/data=!4m9!1m2!2m1!1stoll+brothers+alicante!3m5!1s0x0:0x2b78f90e7f2121fe!8m2!3d39.6345658!4d-119.6988984!15sChZ0b2xsIGJyb3RoZXJzIGFsaWNhbnRlIgOIAQFaGCIWdG9sbCBicm90aGVycyBhbGljYW50ZZIBDGhvbWVfYnVpbGRlcg",TBAC00,ALICANTE,39.634566,-119.698938,250,"Reno,Wesley Wilson",TBAC00 ALICANTE,Normal Geofence
